"language" "repetition" "vot" "consonant"
"spanish" 1 -61.56 "d"
"spanish" 2 -67 "d"
"spanish" 3 -56.95 "d"
"spanish" 1 -61.16 "d"
"spanish" 2 -54.46 "d"
"spanish" 3 -47.44 "d"
"spanish" 1 -72.13 "d"
"spanish" 2 -72.54 "d"
"spanish" 3 -44.53 "d"
"spanish" 1 5.78 "t"
"spanish" 2 21.63 "t"
"spanish" 3 12.75 "t"
"spanish" 1 10.72 "t"
"spanish" 2 10.02 "t"
"spanish" 3 25.46 "t"
"spanish" 1 19.07 "t"
"spanish" 2 17.96 "t"
"spanish" 3 12.99 "t"
"spanish" 1 -58.73 "d"
"spanish" 2 -61.6 "d"
"spanish" 3 -65.47 "d"
"spanish" 1 -58.28 "d"
"spanish" 2 -61.76 "d"
"spanish" 3 -68.09 "d"
"spanish" 1 -71.94 "d"
"spanish" 2 -49.73 "d"
"spanish" 3 -59.35 "d"
"spanish" 1 16.91 "t"
"spanish" 2 14.42 "t"
"spanish" 3 3.92 "t"
"spanish" 1 9.44 "t"
"spanish" 2 2.83 "t"
"spanish" 3 23.26 "t"
"spanish" 1 17.82 "t"
"spanish" 2 24.75 "t"
"spanish" 3 21.24 "t"
"spanish" 1 -52.93 "d"
"spanish" 2 -58.5 "d"
"spanish" 3 -62.5 "d"
"spanish" 1 -85.29 "d"
"spanish" 2 -62.25 "d"
"spanish" 3 -63.3 "d"
"spanish" 1 -62.05 "d"
"spanish" 2 -74.49 "d"
"spanish" 3 -59.59 "d"
"spanish" 1 11.27 "t"
"spanish" 2 13.01 "t"
"spanish" 3 6.59 "t"
"spanish" 1 16.86 "t"
"spanish" 2 20.54 "t"
"spanish" 3 23.11 "t"
"spanish" 1 15.76 "t"
"spanish" 2 17.71 "t"
"spanish" 3 3.4 "t"
"spanish" 1 -53.22 "d"
"spanish" 2 -60.86 "d"
"spanish" 3 -81.76 "d"
"spanish" 1 -65.05 "d"
"spanish" 2 -43.02 "d"
"spanish" 3 -45.63 "d"
"spanish" 1 -63.67 "d"
"spanish" 2 -75.14 "d"
"spanish" 3 -67.14 "d"
"spanish" 1 0.48 "t"
"spanish" 2 18.32 "t"
"spanish" 3 14.64 "t"
"spanish" 1 12.02 "t"
"spanish" 2 24.71 "t"
"spanish" 3 8.7 "t"
"spanish" 1 2.45 "t"
"spanish" 2 12.09 "t"
"spanish" 3 -2.56 "t"
"spanish" 1 -32.86 "d"
"spanish" 2 -70.53 "d"
"spanish" 3 -48.5 "d"
"spanish" 1 -69.61 "d"
"spanish" 2 -51.13 "d"
"spanish" 3 -69.36 "d"
"spanish" 1 -59.38 "d"
"spanish" 2 -52.38 "d"
"spanish" 3 -61.26 "d"
"spanish" 1 3.61 "t"
"spanish" 2 19.11 "t"
"spanish" 3 8.66 "t"
"spanish" 1 6.74 "t"
"spanish" 2 10.01 "t"
"spanish" 3 12.49 "t"
"spanish" 1 11.96 "t"
"spanish" 2 12.47 "t"
"spanish" 3 15.95 "t"
"spanish" 1 -62.38 "d"
"spanish" 2 -47.11 "d"
"spanish" 3 -41.69 "d"
"spanish" 1 -78.33 "d"
"spanish" 2 -62.6 "d"
"spanish" 3 -67.28 "d"
"spanish" 1 -60.26 "d"
"spanish" 2 -61.03 "d"
"spanish" 3 -68.58 "d"
"spanish" 1 6.21 "t"
"spanish" 2 15.12 "t"
"spanish" 3 17.52 "t"
"spanish" 1 11.47 "t"
"spanish" 2 4.09 "t"
"spanish" 3 1.8 "t"
"spanish" 1 20.11 "t"
"spanish" 2 15.79 "t"
"spanish" 3 9.94 "t"
"spanish" 1 -62.58 "d"
"spanish" 2 -67.98 "d"
"spanish" 3 -58.55 "d"
"spanish" 1 -55.86 "d"
"spanish" 2 -61.15 "d"
"spanish" 3 -59.8 "d"
"spanish" 1 -67.93 "d"
"spanish" 2 -66.85 "d"
"spanish" 3 -79.03 "d"
"spanish" 1 13.36 "t"
"spanish" 2 17.62 "t"
"spanish" 3 39.54 "t"
"spanish" 1 16.35 "t"
"spanish" 2 8.92 "t"
